region,date,confirmed
Gyeongsangbuk-do,02-29,488
Seoul,03-01,87
Busan,03-01,83
Incheon,03-01,6
Gwangju,03-01,9
Daejeon,03-01,13
Ulsan,03-01,20
Sejong,03-01,1
Gyeonggi-do,03-01,89
Gangwon-do,03-01,15
Chungcheongbuk-do,03-01,11
Chungcheongnam-do,03-01,68
Jeollabuk-do,03-01,6
Jeollanam-do,03-01,3
Gyeongsangnam-do,03-01,63
Jeju-do,03-01,2
Daegu,03-01,2705
Gyeongsangbuk-do,03-01,555
Seoul,03-02,91
Busan,03-02,88
Incheon,03-02,7
Gwangju,03-02,9
Daejeon,03-02,14
Ulsan,03-02,20
Sejong,03-02,1
Gyeonggi-do,03-02,92
Gangwon-do,03-02,19
Chungcheongbuk-do,03-02,11
Chungcheongnam-do,03-02,78
Jeollabuk-do,03-02,6
Jeollanam-do,03-02,5
Gyeongsangnam-do,03-02,64
Jeju-do,03-02,2
Daegu,03-02,3081
Gyeongsangbuk-do,03-02,624
Seoul,03-03,98
Busan,03-03,90
Incheon,03-03,7
Gwangju,03-03,11
Daejeon,03-03,14
Ulsan,03-03,20
Sejong,03-03,1
Gyeonggi-do,03-03,94
Gangwon-do,03-03,20
Chungcheongbuk-do,03-03,12
Chungcheongnam-do,03-03,81
Jeollabuk-do,03-03,7
Jeollanam-do,03-03,5
Gyeongsangnam-do,03-03,64
Jeju-do,03-03,3
Daegu,03-03,3600
Gyeongsangbuk-do,03-03,685
Seoul,03-04,99
Busan,03-04,93
Incheon,03-04,9
Gwangju,03-04,13
Daejeon,03-04,15
Ulsan,03-04,23
Sejong,03-04,1
Gyeonggi-do,03-04,101
Gangwon-do,03-04,21
Chungcheongbuk-do,03-04,11
Chungcheongnam-do,03-04,82
Jeollabuk-do,03-04,7
Jeollanam-do,03-04,5
Gyeongsangnam-do,03-04,65
Jeju-do,03-04,3
Daegu,03-04,4006
Gyeongsangbuk-do,03-04,774
Seoul,03-05,103
Busan,03-05,92
Incheon,03-05,9
Gwangju,03-05,14
Daejeon,03-05,16
Ulsan,03-05,23
Sejong,03-05,1
Gyeonggi-do,03-05,110
Gangwon-do,03-05,23
Chungcheongbuk-do,03-05,12
Chungcheongnam-do,03-05,86
Jeollabuk-do,03-05,7
Jeollanam-do,03-05,5
Gyeongsangnam-do,03-05,74
Jeju-do,03-05,4
Daegu,03-05,4326
Gyeongsangbuk-do,03-05,861
Seoul,03-06,105
Busan,03-06,95
Incheon,03-06,9
Gwangju,03-06,13
Daejeon,03-06,18
Ulsan,03-06,23
Sejong,03-06,1
Gyeonggi-do,03-06,120
Gangwon-do,03-06,25
Chungcheongbuk-do,03-06,15
Chungcheongnam-do,03-06,90
Jeollabuk-do,03-06,7
Jeollanam-do,03-06,5
Gyeongsangnam-do,03-06,77
Jeju-do,03-06,4
Daegu,03-06,4693
Gyeongsangbuk-do,03-06,984
Seoul,03-07,108
Busan,03-07,96
Incheon,03-07,9
Gwangju,03-07,13
Daejeon,03-07,18
Ulsan,03-07,23
Sejong,03-07,2
Gyeonggi-do,03-07,130
Gangwon-do,03-07,26
Chungcheongbuk-do,03-07,20
Chungcheongnam-do,03-07,92
Jeollabuk-do,03-07,7
Jeollanam-do,03-07,4
Gyeongsangnam-do,03-07,82
Jeju-do,03-07,4
Daegu,03-07,5084
Gyeongsangbuk-do,03-07,1049
Seoul,03-08,120
Busan,03-08,97
Incheon,03-08,9
Gwangju,03-08,13
Daejeon,03-08,18
Ulsan,03-08,24
Sejong,03-08,3
Gyeonggi-do,03-08,141
Gangwon-do,03-08,27
Chungcheongbuk-do,03-08,24
Chungcheongnam-do,03-08,98
Jeollabuk-do,03-08,7
Jeollanam-do,03-08,4
Gyeongsangnam-do,03-08,83
Jeju-do,03-08,4
Daegu,03-08,5381
Gyeongsangbuk-do,03-08,1081
Seoul,03-09,130
Busan,03-09,96
Incheon,03-09,9
Gwangju,03-09,15
Daejeon,03-09,19
Ulsan,03-09,24
Sejong,03-09,6
Gyeonggi-do,03-09,152
Gangwon-do,03-09,28
Chungcheongbuk-do,03-09,25
Chungcheongnam-do,03-09,102
Jeollabuk-do,03-09,7
Jeollanam-do,03-09,4
Gyeongsangnam-do,03-09,83
Jeju-do,03-09,4
Daegu,03-09,5571
Gyeongsangbuk-do,03-09,1107
Seoul,03-10,141
Busan,03-10,96
Incheon,03-10,13
Gwangju,03-10,15
Daejeon,03-10,18
Ulsan,03-10,24
Sejong,03-10,8
Gyeonggi-do,03-10,163
Gangwon-do,03-10,28
Chungcheongbuk-do,03-10,25
Chungcheongnam-do,03-10,104
Jeollabuk-do,03-10,7
Jeollanam-do,03-10,4
Gyeongsangnam-do,03-10,83
Jeju-do,03-10,4
Daegu,03-10,5663
Gyeongsangbuk-do,03-10,1117
Seoul,03-11,193
Busan,03-11,98
Incheon,03-11,25
Gwangju,03-11,15
Daejeon,03-11,18
Ulsan,03-11,25
Sejong,03-11,10
